title,id,funding_type,program,status,grant_or_tender,topic,deadline_model,opening_date,closing_date
Scaling-up Balance of Plant components for efficient high power heavy duty applications,HORIZON-JTI-CLEANH2-2024-03-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Balance of plant components, architectures and operation strategies for improved PEMFC system efficiency and lifetime",HORIZON-JTI-CLEANH2-2024-03-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Demonstration and deployment of multi-purpose Hydrogen Refuelling Stations combining road and airport, railway, and/or harbour applications",HORIZON-JTI-CLEANH2-2024-02-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Next generation on-board storage solutions for hydrogen-powered maritime applications,HORIZON-JTI-CLEANH2-2024-03-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
Advanced anion exchange membrane electrolysers for low-cost hydrogen production for high power range applications,HORIZON-JTI-CLEANH2-2024-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
EIC Pathfinder Open,HORIZON-EIC-2024-PATHFINDEROPEN-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON EIC Grants,single-stage,03 January 2024,7 March 2024 17:00:00 Brussels time
Support to the development and implementation of policies and practices for reproducibility of scientific results,HORIZON-WIDERA-2024-ERA-01-09,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Research infrastructure concept development,HORIZON-INFRA-2024-DEV-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Demonstration of hydrogen fuel cell-powered inland or short sea shipping,HORIZON-JTI-CLEANH2-2024-03-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"AI-driven data operations and compliance technologies (AI, data and robotics partnership) (IA)",HORIZON-CL4-2024-DATA-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Photonics Innovation Factory for Europe (Photonics Partnership) (IA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-55,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
CETPartnership Joint Call 2023,CETP,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL5-2021-D3-01-04,multiple cut-off,20 September 2023,27 March 2024 17:00:00 Brussels time
SNS Operations and Output optimisation,HORIZON-JU-SNS-2024-STREAM-CSA-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Coordination and Support Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
SNS Microelectronics Lighthouse,HORIZON-JU-SNS-2024-STREAM-C-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
European Quantum Excellence Centres (QECs) in applications for science and industry,HORIZON-EUROHPC-JU-2023-QEC-05-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 November 2023,14 May 2024 17:00:00 Brussels time
EIC Accelerator 2024 - Short application,HORIZON-EIC-2024-ACCELERATOR-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON EIC Accelerator,single-stage,03 January 2024,24 December 2024 17:00:00 Brussels time
Open Call 2: Financial support for Ukrainian tech start-ups Support Programmes,UASEEDs,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2022-UKRAINIANTECH-01-01,multiple cut-off,25 January 2024,25 March 2024 17:00:00 Brussels time
Open Call 1A: Business Consultancy Services for Ukrainian tech start-ups,UASEEDs,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2022-UKRAINIANTECH-01-01,multiple cut-off,20 December 2023,20 May 2024 17:00:00 Brussels time
Hop on Facility,HORIZON-WIDERA-2023-ACCESS-06-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,multiple cut-off,10 January 2023,26 September 2024 17:00:00 Brussels time
Support for the professionalisation of research management,HORIZON-WIDERA-2024-ERA-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
ERA Chairs,HORIZON-WIDERA-2023-TALENTS-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,28 September 2023,7 March 2024 17:00:00 Brussels time
Capacity building on Intellectual Property (IP) management to support open science,HORIZON-WIDERA-2024-ERA-01-07,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
International Collaboration – EU-JP,HORIZON-JU-SNS-2024-STREAM-B-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Communication Infrastructure Technologies and Devices – Standardisation and Follow-up/PoCs,HORIZON-JU-SNS-2024-STREAM-B-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Copernicus for Land and Water,HORIZON-CL4-2024-SPACE-01-35,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,21 November 2023,21 March 2024 17:00:00 Brussels time
HYPERLOOP – ROADMAP TOWARDS INDUSTRIALISATION AND HARMONIZED IMPLEMENTABLE CONCEPT,HORIZON-ER-JU-2024-FA7,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,25 January 2024,7 May 2024 17:00:00 Brussels time
AR/VR-empowered digital twins for modelling complex phenomena in new RI application areas,HORIZON-INFRA-2024-TECH-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Bio-printing of living cells for regenerative medicine,HORIZON-HLTH-2024-TOOL-11-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,26 October 2023,11 April 2024 17:00:00 Brussels time
Programme level collaboration between national R&I policy-makers,HORIZON-WIDERA-2024-ERA-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
"Platform Building, standardisation and Up-scaling of the ‘Cloud-Edge-IoT’ Solutions (Horizontal Activities - CSA)",HORIZON-CL4-2024-DATA-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Paleoclimate science for a better understanding of the short- to long-term evolution of the Earth system,HORIZON-CL5-2024-D1-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
Reliable Services and Smart Security–Standardisation and Follow-up/PoCs,HORIZON-JU-SNS-2024-STREAM-B-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
International Collaboration – EU-ROK,HORIZON-JU-SNS-2024-STREAM-B-01-06,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Call for applications: FRONTIERS Science Journalism Residency Program 2023 (round 1),FRONTIERS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,ERC-2023-SJI-1,multiple cut-off,05 December 2023,5 March 2024 17:00:00 Brussels time
Development and implementation of online monitoring and diagnostic tools for electrolysers,HORIZON-JTI-CLEANH2-2024-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
"Inland ice, including snow cover, glaciers, ice sheets and permafrost, and their interaction with climate change",HORIZON-CL5-2024-D1-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
Portable fuel cells for backup power during natural disasters to power critical infrastructures,HORIZON-JTI-CLEANH2-2024-04-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,18 January 2024,17 April 2024 17:00:00 Brussels time
EmpoWomen Open Call #1,EmpoWOMEN,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2022-STARTUPEU-01-01,single-stage,08 January 2024,8 March 2024 17:00:00 Brussels time
Enabling a network of EOSC federated and trustworthy repositories and enhancing the framework of generic and discipline specific services for data and other research digital objects,HORIZON-INFRA-2024-EOSC-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
New digital twins for Destination Earth,HORIZON-INFRA-2024-TECH-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
"Long-term access and preservation infrastructure development for EOSC, including data quality aspects",HORIZON-INFRA-2024-EOSC-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
"Development of tools, solutions, modules to enable R&I on the social aspects of the green transition",HORIZON-INFRA-2024-TECH-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
"Consolidation of the RI landscape – Individual support for evolution, long term sustainability and emerging needs of pan-European research infrastructures",HORIZON-INFRA-2024-DEV-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
FAIR and open data sharing in support of the mission adaptation to climate change,HORIZON-INFRA-2024-EOSC-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
6G-BRICKS 1st Open Call,6G-BRICKS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-JU-SNS-2022-STREAM-C-01-01,single-stage,27 December 2023,22 March 2024 17:00:00 Brussels time
6G-SANDBOX 2nd Open Call for New Infrastructures and Functionalities as well as for Innovative Experiments,6G-SANDBOX,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-JU-SNS-2022-STREAM-C-01-01,single-stage,28 November 2023,29 February 2024 17:00:00 Brussels time
ERC PROOF OF CONCEPT GRANTS,ERC-2024-POC,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON ERC Proof of Concept Grants,multiple cut-off,16 November 2023,14 March 2024 17:00:00 Brussels time
Wireless Communication Technologies and Signal Processing – Standardisation and Follow-up/PoCs,HORIZON-JU-SNS-2024-STREAM-B-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
Regional ecosystems of innovation to foster food system transformation,HORIZON-CL6-2024-GOVERNANCE-01-2,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
"DIGITAL AUTOMATIC COUPLER – TESTING TO SUPPORT DAC AUTHORISATION, MIX AND MATCH FOR DAC COUPLER HEAD AND DRAFT GEAR INTERCHANGEABILITY AND DAC HYBRID COUPLER FITTING SOLUTIONS",HORIZON-ER-JU-2024-FA5,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,25 January 2024,7 May 2024 17:00:00 Brussels time
Emerging energy technologies for a climate neutral Europe,HORIZON-CL5-2024-D2-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
The role of climate change foresight for primary and secondary raw materials supply,HORIZON-CL5-2024-D1-01-06,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
EU-RAIL – SNS SYNERGY: DIGITAL & AUTOMATED TESTING AND OPERATIONAL VALIDATION OF THE NEXT EU RAIL COMMUNICATION SYSTEM,HORIZON-ER-JU-2024-FA2-SNS,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,single-stage,25 January 2024,7 May 2024 17:00:00 Brussels time
SynergistEIC Open Call #2 for GreenTech startups,SynergistEIC,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2021-STARTUPEU-01-01,single-stage,10 January 2024,13 March 2024 17:00:00 Brussels time
INDUSAC OPEN CALL FOR STUDENTS AND RESEARCHERS,INDUSAC,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-HUMAN-01-20,multiple cut-off,18 December 2023,31 May 2024 17:00:00 Brussels time
Pandemic preparedness and response: Maintaining the European partnership for pandemic preparedness,HORIZON-HLTH-2024-DISEASE-08-12,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,26 October 2023,11 April 2024 17:00:00 Brussels time
Pandemic preparedness and response: Host-pathogen interactions of infectious diseases with epidemic potential,HORIZON-HLTH-2024-DISEASE-08-20,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,26 October 2023,11 April 2024 17:00:00 Brussels time
Low-disruptive renovation processes using integration of prefabricated solutions for energy-efficient buildings,HORIZON-CL5-2024-D4-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
SPADE Open Call #1,SPADE,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL6-2021-GOVERNANCE-01-21,single-stage,09 February 2024,10 April 2024 17:00:00 Brussels time
StandICT.eu 2026 – 4th Open Call,StandICT.eu 2026,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2022-RESILIENCE-01-21,single-stage,12 February 2024,12 April 2024 17:00:00 Brussels time
NebulOuS Open Call #1,NebulOus,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-DATA-01-05,single-stage,14 February 2024,17 April 2024 17:00:00 Brussels time
Procure4Health 3rd call for twinnings,Procure4Health,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-HLTH-2021-CARE-05-04,multiple cut-off,14 February 2024,17 April 2024 17:00:00 Brussels time
"Smart, low-cost pervasive stationary slow charging and bi-directional solutions synergic with the grid for EV mass deployment (2ZERO Partnership)",HORIZON-CL5-2024-D5-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Integrated flexible multipoint megawatt charging systems for electric truck mass deployment (2ZERO Partnership) (2024),HORIZON-CL5-2024-D5-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Achieving high voltage, low weight, efficient electric powertrains for sustainable waterborne transport (ZEWT Partnership)",HORIZON-CL5-2024-D5-01-11,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Accelerating climate neutral aviation, minimising non-CO2 emissions",HORIZON-CL5-2024-D5-01-07,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Development of evidence based practical guidance for sponsors on the use of real-world data / real-world evidence,HORIZON-JU-IHI-2024-06-02-two-stage,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,two-stage,16 January 2024,16 April 2024 17:00:00 Brussels time
Support healthcare system resilience through a focus on persistency in the treatment of chronic diseases,HORIZON-JU-IHI-2024-06-01-two-stage,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,two-stage,16 January 2024,16 April 2024 17:00:00 Brussels time
Coordinating and supporting the combined activities of member and associated states towards the objectives of the Zero Emission Waterborne Transport partnership so as to increase synergies and impact (ZEWT Partnership),HORIZON-CL5-2024-D5-01-17,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Impact monitoring of EU Aviation R&I,HORIZON-CL5-2024-D5-01-09,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"New designs, shapes, functionalities of Light Commercial Vehicles (2ZERO Partnership)",HORIZON-CL5-2024-D5-01-06,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Assessment of air pollutant emissions from low-carbon fuels in the heavy-duty, aviation, and maritime sectors",HORIZON-CL5-2024-D5-01-18,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Combining state-of-the-art emission reduction and efficiency improvement technologies in ship design and retrofitting for contributing to the ""Fit for 55"" package objective by 2030 (ZEWT Partnership)",HORIZON-CL5-2024-D5-01-12,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Demonstrating efficient fully DC electric grids within waterborne transport for large ship applications (ZEWT Partnership),HORIZON-CL5-2024-D5-01-14,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Advanced digitalisation and modelling utilizing operational and other data to support zero emission waterborne transport (ZEWT Partnership),HORIZON-CL5-2024-D5-01-15,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Towards a flying testbed for European leadership in aviation,HORIZON-CL5-2024-D5-01-10,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Integration and testing of next generation post-800V electric powertrains (2ZERO Partnership),HORIZON-CL5-2024-D5-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
"Structuring the Waterborne transport sector, including through changed business and industrial models in order to achieve commercial zero-emission waterborne transport (ZEWT Partnership)",HORIZON-CL5-2024-D5-01-16,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
OLAMUR open call for Associated Regions,OLAMUR,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-OCEAN-04-01,single-stage,01 February 2024,31 March 2024 17:00:00 Brussels time
NGI Zero Commons Fund (2024-04Z),NGI0 Commons Fund,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2023-HUMAN-01-11,single-stage,01 February 2024,1 April 2024 17:00:00 Brussels time
Exchange Schemes First Call for Proposals (oc1-2024-TES-01),ENFIELD,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2022-HUMAN-02-02,single-stage,01 February 2024,31 March 2024 17:00:00 Brussels time
NGI TALER open call (2024-04T),TALER,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2023-HUMAN-01-12,single-stage,01 February 2024,1 April 2024 17:00:00 Brussels time
NGI0 Core (2024-04C),NGI0 Core,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2022-HUMAN-01-03,single-stage,01 February 2024,1 April 2024 17:00:00 Brussels time
Third FAIR-IMPACT Open Call for Support,FAIR-IMPACT,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-INFRA-2021-EOSC-01-05,single-stage,31 January 2024,31 March 2024 17:00:00 Brussels time
Competitiveness and digital transformation in aviation – advancing further composite aerostructures,HORIZON-CL5-2024-D5-01-08,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Pilot line on advanced Fully Depleted Silicon On Insulator technologies targeting 7nm,HORIZON-JU-Chips-2023-RIA-CPL-2,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,01 February 2024,29 February 2024 17:00:00 Brussels time
Pilot line on advanced semiconductor devices based on Wide Bandgap materials,HORIZON-JU-Chips-2023-RIA-CPL-4,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,01 February 2024,29 February 2024 17:00:00 Brussels time
Pilot line on advanced sub 2nm leading-edge system on chip technology,HORIZON-JU-Chips-2023-RIA-CPL-1,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,01 February 2024,29 February 2024 17:00:00 Brussels time
Pilot line on advanced Packaging and Heterogenous Integration,HORIZON-JU-Chips-2023-RIA-CPL-3,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,01 February 2024,29 February 2024 17:00:00 Brussels time
NGI Mobifree open call (2024-04M),MOBIFREE,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2023-HUMAN-01-12,single-stage,01 February 2024,1 April 2024 17:00:00 Brussels time
A-AAGORA - 2nd CALL FOR ASSOCIATED REGIONS,A-AAgora,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-OCEAN-02-03,single-stage,31 January 2024,20 March 2024 17:00:00 Brussels time
Topic 3 Focus topic on “Service Oriented Framework for the Software Defined Vehicle of the future”,HORIZON-JU-Chips-2024-1-IA-T3,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,two-stage,06 February 2024,14 May 2024 17:00:00 Brussels time
HORIZON-JU-Chips-2024-2-RIA Topic 1Global call according to SRIA 2023,HORIZON-JU-Chips-2024-2-RIA-T1,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,two-stage,06 February 2024,14 May 2024 17:00:00 Brussels time
India-EU,HORIZON-EUROHPC-JU-2023-INCO-06-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,06 February 2024,7 May 2024 17:00:00 Brussels time
Topic 1 Global call according to SRIA 2024,HORIZON-JU-Chips-2024-1-IA-T1,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,two-stage,06 February 2024,14 May 2024 17:00:00 Brussels time
Topic 2 Focus topic on “High Performance RISC-V Automotive Processors supporting SDV”,HORIZON-JU-Chips-2024-1-IA-T2,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Innovation Actions,two-stage,06 February 2024,14 May 2024 17:00:00 Brussels time
Topic 2 Focus topic on “Sustainable and greener manufacturing”,HORIZON-JU-Chips-2024-2-RIA-T2,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,two-stage,06 February 2024,14 May 2024 17:00:00 Brussels time
